delta/B,5Eg(D),5T2g(D),3Eg (H),3T1g(H),3T1g(H),3T2g(H),3T1g(P),3A2g(F),3T2g(F),3T1g(F),3A1g(G),3Eg(G),3T1g(G),3T2g(G),1A1g(I),1A2g(I),1Eg(I),1T1g(I),1T2g(I),1T2g(I),3Eg(D),3T2g(D),1A1g(G),1Eg(G),1T2g(G),1T1g(G),1A1g(S),1Eg(D),1T2g(D),1A2g(F),1T1g(F),1T2g(F),3A2g(F),3T1g(F),3T2g(F),3T1g(P),1A1g(G),1Eg(G),1T1g(G),1T2g(G),1Eg(D),1T2g(D),1A1g(S)
34.6733665,7.12203884,41.7954058,30.5991709,0,31.7934146,32.9391508,50.9970452,35.9977839,52.1537261,65.6230138,34.524049,38.9160088,75.7439422,67.0706244,27.6409686,42.91575,14.4039334,46.2092575,13.031706,43.0168291,70.7303354,72.9298982,60.342706,48.3740264,66.8797224,64.6897425,79.5477525,77.8413857,76.2459912,88.2077249,89.2612927,87.6228756,95.5251884,93.0923229,116.02182,108.715089,130.635112,101.832972,115.561531,113.914992,126.122701,133.659744,164.757727
35.4271355,7.85390329,43.2810389,31.3339799,0,32.5266683,33.676593,51.8751018,36.7612525,52.9572073,67.1042249,35.2559133,39.6565126,77.1564585,68.5395691,27.8162776,43.6608656,14.4231746,46.9650013,13.0546344,43.757044,72.2043819,74.4323342,60.9927651,49.1127638,67.7115101,65.4825113,81.0179183,79.3244573,77.7353769,89.6801055,90.7237977,89.1056633,96.9792161,94.6383719,118.183911,110.802122,132.536342,103.291198,117.739275,115.345599,127.590281,135.800155,167.235356
36.1809044,8.58642197,44.7673266,32.0693329,0,33.2605515,34.4144849,52.747397,37.5246281,53.7577035,68.5863442,35.9884322,40.3972927,78.5712136,70.0105616,27.9867173,44.4062173,14.4416168,47.7205716,13.0771118,44.4976884,73.6795754,75.9347249,61.6448166,49.8522513,68.5401859,66.2731621,82.4898756,80.8083065,79.2253191,91.1535616,92.1868304,90.5892437,98.4346482,96.1810427,120.349812,112.899111,134.409854,104.750979,119.921406,116.776739,129.058858,137.946406,169.745067
36.9346733,9.31956768,46.2542412,32.8052085,0,33.9950352,35.1528053,53.6142324,38.2879058,54.5554711,70.0693204,36.7215779,41.1383442,79.9882688,71.4834158,28.152441,45.1517952,14.459304,48.4759812,13.099152,45.2387412,75.1558555,77.4370842,62.2989234,50.5924447,69.3659033,67.0618417,83.9634698,82.2928982,80.7157927,92.628044,93.6504585,92.0735754,99.8914309,97.7205741,122.519313,115.005324,136.257192,106.21224,122.107579,118.208579,130.528391,140.098046,172.285111
37.6884422,10.0533133,47.741755,33.5415829,0,34.7300905,35.8915402,54.4758982,39.0510829,55.3507399,71.553108,37.4553229,41.8796608,81.4076595,72.9579686,28.3135942,45.8975892,14.4762789,49.2312399,13.1207638,45.9801859,76.6331658,78.9394196,62.9551256,51.3333053,70.1888078,67.8486796,85.4385678,83.7781947,82.2067714,94.1035088,95.1147399,93.5586219,101.349513,99.2571997,124.692219,117.120084,138.079916,107.674915,124.297485,119.641255,131.998844,142.254672,174.85373
38.4422112,10.7876291,49.2298405,34.2784372,0,35.4656947,36.6306734,55.3326709,39.8141545,56.1437136,73.0376658,38.1896394,42.6212374,82.8293995,74.4340779,28.4703254,46.6435905,14.4925791,49.986358,13.1419623,46.7220038,78.1114573,80.4417412,63.6134497,52.0747952,71.0090364,68.633799,86.9150515,85.2641633,83.6982299,95.5799108,96.5797161,95.0443492,102.808843,100.791141,126.868347,119.242768,139.879579,109.138941,126.490847,121.074872,133.470183,144.415921,177.449192
39.1959801,11.5224962,50.7184761,35.0157513,0,36.2018229,37.3701872,56.1848116,40.5771206,56.9345716,74.5229535,38.9245063,43.3630678,84.2534824,75.9116143,28.6227739,47.3897915,14.5082437,50.7413467,13.1627563,47.4641771,79.5906784,81.9440565,64.2739033,52.8168794,71.8267198,69.4173128,88.3928153,86.7507739,85.1901495,97.0572098,98.0454183,96.5307236,104.269378,102.322607,129.047526,121.372798,141.657705,110.604256,128.687413,122.509518,134.942374,146.581467,180.069804
39.949749,12.2578869,52.2076357,35.753505,0,36.9384523,38.1100691,57.0325666,41.3399799,57.7234774,76.0089347,39.659897,44.105147,85.6798907,77.3904686,28.7710779,48.1361834,14.5233053,51.4962123,13.183157,48.2066922,81.0707864,83.4463706,64.9364849,53.5595264,72.6419786,70.1993241,89.8717676,88.2379962,86.6825075,98.5353693,99.5118719,98.0177148,105.73107,103.851795,131.229601,123.509648,143.415771,112.070805,130.886954,123.945256,136.415388,148.751016,182.713931
40.7035179,12.9937811,53.697299,36.4916834,0,37.6755616,38.850304,57.8761721,42.1027274,58.5105766,77.4955741,40.3957915,44.8474698,87.1085942,78.8705415,28.9153744,48.8827588,14.5377965,52.2509648,13.2031759,48.9495327,82.5517387,84.9486922,65.6011822,54.3027048,73.4549271,70.9799284,91.3518254,89.725804,88.1752852,100.014351,100.97909,99.5052965,107.193879,105.378891,133.414421,125.652832,145.155196,113.538534,133.089263,125.382141,137.889193,150.924302,185.380004
41.4572868,13.7301598,55.187446,37.2302688,0,38.4131307,39.5908794,58.715848,42.8653668,59.2960013,78.982843,41.1321696,45.5900289,88.539554,80.3517425,29.0557915,49.6295126,14.551745,53.0056106,13.2228216,49.6926847,84.0334962,86.4510264,66.2679749,55.0463857,74.2656746,71.7592161,92.8329146,91.2141709,89.6684661,101.494122,102.447084,100.993442,108.657766,106.904064,135.601848,127.801903,146.877329,115.007393,135.294152,126.820207,139.363764,153.101083,188.066534
42.2110558,14.467,56.6780553,37.969245,0,39.1511407,40.3317839,59.551804,43.6278932,60.0798693,80.4707098,41.8690101,46.3328204,89.9727249,81.8339937,29.1924573,50.3764359,14.5651809,53.760157,13.2421043,50.4361369,85.5160201,87.9533769,66.9368392,55.7905427,75.0743241,72.5372676,94.3149686,92.7030741,91.1620327,102.974649,103.915858,102.482126,110.12269,108.427474,137.791755,129.956455,148.583448,116.477335,137.501451,128.259481,140.839069,155.281138,190.772111
42.9648247,15.2042866,58.1691106,38.7085967,0,39.8895741,41.0730038,60.3842374,44.390309,60.8622889,81.959147,42.6062965,47.0758367,91.408054,83.3172236,29.3254937,51.1235226,14.5781294,54.5146118,13.2610352,51.1798744,86.9992789,89.45575,67.6077425,56.5351508,75.8809711,73.3141595,95.7979271,94.1924887,92.6559686,104.455905,105.385411,103.971324,111.588616,109.949263,139.984019,132.116109,150.274754,117.948315,139.711003,129.699982,142.315088,157.464266,193.495413
43.7185936,15.9420004,59.660593,39.4483116,0,40.6284146,41.8145289,61.2133354,45.1526131,61.6433593,83.4481294,43.3440101,47.8190741,92.8454874,84.8013681,29.4550214,51.8707676,14.5906143,55.2689799,13.2796206,51.9238869,88.4832387,90.9581482,68.2806495,57.2801859,76.6857073,74.0899623,97.2817362,95.6823945,94.1502588,105.937856,106.855741,105.461016,113.055508,111.469568,142.178528,134.280524,151.952368,119.42029,141.922663,131.141719,143.791793,159.650285,196.2352
44.4723625,16.6801262,61.1524874,40.1883744,0,41.3676445,42.5563467,62.0392726,45.9148053,62.4231683,84.9376332,44.0821357,48.5625251,94.2849661,86.2863668,29.5811558,52.6181646,14.6026583,56.0232676,13.2978719,52.6681633,89.9678681,92.4605754,68.9555239,58.0256269,77.4886193,74.8647412,98.7663455,97.1727714,95.6448907,107.420477,108.326843,106.951182,114.523334,112.988513,144.375173,136.449381,153.617335,120.893221,144.136303,132.584692,145.269163,161.839024,198.990315
45.2261314,17.4186459,62.6447764,40.9287739,0,42.10725,43.2984497,62.8622136,46.6768869,63.2017977,86.4276344,44.8206558,49.3061859,95.7264334,87.7721696,29.7040088,53.3657085,14.6142839,56.7774799,13.3157952,53.4126935,91.4531382,93.9630352,69.6323241,58.771451,78.2897902,75.6385565,100.25171,98.6636005,97.1398492,108.903744,109.798706,108.441802,115.992063,114.506207,146.573857,138.622389,155.270628,122.367069,146.3518,134.028903,146.747175,164.030329,201.759683
45.9799004,18.157547,64.137446,41.6694962,0,42.8472148,44.0408254,63.6823153,47.4388568,63.9793229,87.9181131,45.5595565,50.0500503,97.1698266,89.2587274,29.8236872,54.1133945,14.6255113,57.5316219,13.3333995,54.1574661,92.9390239,95.4655289,70.3110075,59.517642,79.0892965,76.4114648,101.737786,100.154864,98.6351244,110.387628,111.271322,109.932857,117.461663,116.022758,148.774485,140.799281,156.913144,123.841798,148.569045,135.474344,148.225808,166.224058,204.542308
46.7336693,18.8968143,65.6304824,42.4105314,0,43.5875276,44.7834661,64.4997261,48.2007173,64.7558116,89.409049,46.2988241,50.7941131,98.6150854,90.745995,29.9402977,54.8612173,14.636358,58.2856985,13.3506947,54.9024736,94.4254975,96.9680616,70.9915327,60.2641784,79.8872111,77.1835176,103.224538,101.646544,100.130701,111.872109,112.744678,111.42433,118.932108,117.538258,150.976969,142.979812,158.545716,125.317374,150.787935,136.921004,149.705043,168.420078,207.337263
47.4874382,19.6364346,67.1238719,43.1518668,0,44.3281746,45.5263606,65.3145817,48.9624673,65.5313279,90.9004234,47.0384447,51.5383681,100.062149,92.2339334,30.0539397,55.6091721,14.646843,59.0397123,13.3676859,55.6477048,95.9125352,98.4706332,71.673853,61.0110452,80.6836055,77.9547663,104.71193,103.138626,101.62657,113.357165,114.218763,112.916206,120.403367,119.052794,153.181224,145.163753,160.169108,126.793766,153.008376,138.368871,151.184858,170.618269,210.143695
48.2412071,20.3763962,68.6176018,43.8934925,0,45.0691432,46.2695038,66.1270138,49.7241093,66.3059296,92.3922173,47.7784058,52.2828128,101.51096,93.7225038,30.1647111,56.357255,14.6569824,59.7936709,13.3843832,56.3931533,97.4001156,99.9732462,72.3579246,61.7582236,81.478544,78.7252525,106.199927,104.631092,103.12272,114.842771,115.693562,114.408469,121.875415,120.566447,155.387175,147.350896,161.784026,128.270942,155.230281,139.817927,152.665237,172.818516,212.960813
48.994976,21.116684,70.1116583,44.6353995,0,45.8104209,47.0128844,66.9371445,50.4856432,67.0796696,93.8844146,48.5186935,53.027441,102.961456,95.2116746,30.272706,57.1054611,14.6667927,60.5475741,13.4007902,57.138809,98.8882161,101.475902,73.0437023,62.505701,82.2720905,79.4950226,107.688503,106.12393,104.619141,116.328912,117.169059,115.901103,123.348226,122.079289,157.594745,149.541046,163.391119,129.748873,157.453572,141.268157,154.146163,175.020716,215.787889
49.748745,21.8572884,71.6060327,45.3775766,0,46.5519987,47.756495,67.7450905,51.2470716,67.8525992,95.3769987,49.259299,53.7722475,104.413579,96.7014133,30.3780163,57.8537864,14.6762889,61.3014284,13.4169183,57.8846658,100.376815,102.978603,73.7311432,63.2534611,83.064304,80.2641131,109.177627,107.617124,106.115823,117.815565,118.645241,117.394095,124.821778,123.591387,159.803867,151.734026,164.990985,131.22753,159.678172,142.71954,155.627618,177.22477,218.624251
50.5025139,22.5981979,73.1007111,46.1200151,0,47.2938631,48.5003291,68.5509611,52.0083932,68.6247613,96.869956,50.0002085,54.5172286,105.867275,98.1916897,30.4807286,58.6022274,14.6854837,62.0552349,13.4327714,58.6307161,101.865896,104.481348,74.4201997,64.0014899,83.8552412,81.0325616,110.667274,109.110663,107.612756,119.302714,120.122093,118.887433,126.296045,125.1028,162.014474,153.929672,166.58417,132.706888,161.904011,144.172057,157.109585,179.430589,221.469276
51.2562828,23.3394051,74.5956859,46.8627073,0,48.0360063,49.2443807,69.3548568,52.7696106,69.396201,98.3632726,50.7414146,55.2623794,107.322487,99.6824786,30.5809271,59.3507802,14.6943907,62.8089987,13.4483568,59.3769523,103.355437,105.984141,75.1108304,64.7497764,84.6449548,81.8004033,112.15742,110.604535,109.109935,120.790339,121.599599,120.381104,127.771006,126.613588,164.226504,156.12783,168.17118,134.186922,164.131028,145.625685,158.59205,181.638088,224.322393
52.0100517,24.0808945,76.0909447,47.6056432,0,48.7784183,49.9886394,70.1568769,53.5307249,70.1669573,99.8569334,51.4829045,56.0076947,108.779162,101.173754,30.6786947,60.099441,14.7030239,63.5627211,13.4636809,60.1233693,104.845425,107.486981,75.8029899,65.4983065,85.4334962,82.5676696,113.648041,112.098726,110.607345,122.278427,123.077744,121.875097,129.246641,128.123798,166.439898,158.328358,169.752475,135.667608,166.359161,147.080405,160.074997,183.847187,227.183074
52.7638206,24.8226604,77.5864786,48.3488166,,49.5210892,50.7331018,70.9571106,54.2917374,70.9370666,101.350926,52.2246696,56.7531709,110.237247,102.665492,30.774108,60.8482073,14.7113932,64.3164045,13.47875,60.8699585,106.335839,108.989869,76.4966357,66.2470704,86.2209146,83.334392,115.139118,113.593225,112.104985,123.76696,124.556511,123.369397,130.722927,129.633479,168.654601,160.531124,171.328482,137.148922,168.588353,148.536191,161.558413,186.057814,230.05083
