delta/B,4T1g,4T2g,4A2g,4T1g,2T2g,2Eg,2T1g,2A1g,2T1g,2T1g,2Eg,2T2g,2T1g,2Eg,2T2g,2T1g,2T2g,2A2g,2T2g,2Eg
13.3874239,0,11.894074,25.281498,25.4007231,19.7098012,8.06732759,19.0530811,29.7835264,24.7050527,33.5871045,35.9300061,31.6066785,41.5321937,44.8508976,39.6208925,51.6527738,45.3204746,49.7835264,74.7916288,72.4177181
13.9959432,0,12.4672951,26.4632383,25.9386471,19.71514,7.47990365,19.0327292,30.3567475,24.7459625,34.1570365,36.5100223,32.034571,42.2368722,45.927714,40.2440051,52.6151937,45.6491724,50.3567475,75.6641755,73.0326765
14.6044625,0,13.0420446,27.6465071,26.4796268,19.7191055,6.89138742,19.0126765,30.931497,24.7846694,34.728857,37.0907799,32.4586785,42.9277485,47.00436,40.8561227,53.599071,45.9869432,50.931497,76.5514432,73.6542688
15.2129817,0,13.6182312,28.831213,27.0234807,19.7219006,6.30188945,18.9929757,31.5076836,24.8213185,35.3024229,37.6723093,32.8782018,43.6062049,48.0803256,41.4561349,54.6025122,46.3357556,51.5076836,77.452712,74.282498
15.821501,0,14.1957688,30.0172698,27.5700365,19.7236957,5.71150406,18.9736633,32.0852211,24.8560426,35.8776065,38.2546237,33.2923621,44.2735852,49.1551389,42.0429148,55.6237069,46.6976166,52.0852211,78.367285,74.9173854
16.4300203,0,14.7745791,31.2045994,28.1191379,19.72464,5.12031339,18.9547657,32.6640314,24.8889655,36.4542951,38.8377272,33.7003976,44.9311602,50.228358,42.6153824,56.6609513,47.0744868,52.6640314,79.294501,75.5589767
17.0385396,0,15.3545892,32.3931288,28.6706389,19.724856,4.52838438,18.9362992,33.2440416,24.9202039,37.0323834,39.4216126,34.101572,45.5801095,51.2995649,43.1726105,57.7126724,47.4681765,53.2440416,80.2337231,76.2073347
17.6470588,0,15.9357312,33.5827901,29.2244037,19.7244533,3.9357789,18.9182748,33.8251836,24.9498641,37.6117809,40.0062677,34.4951734,46.2215091,52.368356,43.7139402,58.777429,47.880213,53.8251836,81.1843489,76.8625416
18.2555781,0,16.5179412,34.7735193,29.7803043,19.7235213,3.3425497,18.9006978,34.4073935,24.9780477,38.1924016,40.5916755,34.8805193,46.8563256,53.4343428,44.2391136,59.8539178,48.3117039,54.4073935,82.1458022,77.5246978
18.8640974,0,17.1011613,35.9652586,30.3382252,19.722141,2.74874341,18.8835669,34.9906136,25.0048469,38.7741694,41.1778164,35.2569635,47.4854229,54.497145,44.7483773,60.9409645,48.7632221,54.9906136,83.1175365,78.1939229
19.4726166,0,17.6853367,37.1579533,30.8980568,19.7203773,2.15439959,18.8668824,35.574789,25.0303489,39.3570132,41.7646684,35.6239067,48.1095629,55.5563884,45.2425375,62.0375203,49.2347404,55.574789,84.0990365,78.8703529
20.0811359,0,18.2704158,38.3515517,31.4596957,19.7182911,1.55955578,18.8506369,36.1598682,25.0546349,39.9408702,42.3522079,35.9807961,48.7294168,56.6117049,45.7229402,63.1426481,49.72564,56.1598682,85.0898083,79.5541379
20.6896552,0,18.8563519,39.5460071,32.0230487,19.715931,0.964244422,18.8348245,36.7458043,25.0777779,40.5256795,42.9404138,36.327143,49.34557,57.6627282,46.1913793,64.2555132,50.2347931,56.7458043,86.0893884,80.2454442
21.2981744,0,19.4430994,40.7412738,32.5880254,19.7133408,0.368494929,18.8194361,37.3325517,25.0998489,41.1113864,43.5292596,36.6625233,49.9585365,58.7090963,46.6499584,65.3753763,50.7606968,57.3325517,87.0973377,80.9444533
21.9066937,0.227667343,20.258286,42.1649797,33.382211,19.9382252,0,19.0321308,38.1477383,25.3485801,41.9256105,44.3463915,37.2142535,50.796429,59.9781136,47.3285903,66.7292465,51.5292921,58.1477383,88.3409067,81.8790233
22.515213,0.824218053,21.4430872,43.9583002,34.5467424,20.5318327,0,19.6141146,39.3325396,25.9652465,43.1095183,45.533001,38.1232799,52.0008509,61.6106379,48.3707302,68.4577535,52.6799929,59.3325396,89.9609189,83.1905761
23.1237323,1.4211359,22.6289503,45.7526826,35.7130325,21.1256744,0,20.196859,40.5184026,26.5813874,44.2945527,46.7205477,39.0208966,53.2036207,63.2377941,49.4099736,70.1918621,53.8425193,60.5184026,91.5884868,84.5108073
23.7322515,2.01840162,23.8158225,47.548074,36.8809929,21.7197556,0,20.7803347,41.7052748,27.1970365,45.4806521,47.9089919,39.9069807,54.4050122,64.8592079,50.4482089,71.9310892,55.0152069,61.7052748,93.2232404,85.8399178
24.3407708,2.61599493,25.0036531,49.3444239,38.0505406,22.3140791,0,21.3645112,42.8931055,27.8122231,46.6677617,49.0982931,40.7814929,55.6052586,66.4745101,51.4870751,73.675003,56.1965497,62.8931055,94.8648296,87.1781176
24.9492901,3.21390264,26.1923966,51.1416866,39.2215994,22.9086471,0,21.9493621,44.0818489,28.4269757,47.8558306,50.2884138,41.6444757,56.8045629,68.0833387,52.5279483,75.4232201,57.3852241,64.0818489,96.512926,88.5256197
25.5578093,3.81210649,27.3820071,52.9398164,40.3940994,23.5034594,0,22.534859,45.2714594,29.0413225,49.0448124,51.4793185,42.4960477,58.0031004,69.6853398,53.5719503,77.1753945,58.5800832,65.2714594,98.1672181,89.88264
26.1663286,4.41059432,28.5724473,54.7387759,41.5679706,24.0985162,0,23.1209797,46.4618996,29.655288,50.2346602,52.6709746,43.3363996,59.2010223,71.2801694,54.6199625,78.931217,59.780144,66.4618996,99.8274138,91.2493935
26.7748479,5.00935193,29.7636765,56.5385243,42.7431531,24.6938154,0,23.7076978,47.6531288,30.2688945,51.4253347,53.8633509,44.1657819,60.3984584,72.8674939,55.6726562,80.6904097,60.9845761,67.6531288,101.493235,92.6260913
27.3833671,5.60836815,30.9556602,58.3390274,43.9195852,25.289357,0,24.2949909,48.8451126,30.8821663,52.6167972,55.0564168,44.9844949,61.5955203,74.446998,56.7305162,82.4527211,62.1926744,68.8451126,103.164423,94.0129381
27.9918864,6.20763083,32.1483651,60.1402515,45.097214,25.8851369,0,24.8828377,50.0378174,31.4951227,53.8090101,56.250143,45.7928874,62.7923053,76.0183813,57.7938692,84.217926,63.4038489,70.0378174,104.840728,95.4101288
28.6004057,6.80712982,33.3417596,61.9421653,46.2759848,26.4811531,0,25.4712181,51.231212,32.107783,55.0019412,57.4445051,46.5913377,63.9888955,77.5813641,58.8629138,85.9858174,64.6176004,71.231212,106.521921,96.8178448
29.2089249,7.40685598,34.5358154,63.7447404,47.4558499,27.0774037,0,26.0601116,52.4252677,32.7201663,56.1955588,58.6394767,47.3802495,65.1853631,79.1356886,59.9377373,87.756212,65.8335132,72.4252677,108.207778,98.2362495
29.8174442,8.00679817,35.730503,65.5479473,48.6367627,27.6738824,0,26.6495,53.6199554,33.332288,57.3898327,59.8350335,48.1600446,66.3817688,80.6811227,61.0183448,89.5289402,67.0512343,73.6199554,109.898094,99.6654888
30.4259635,8.6069503,36.9257961,67.3517596,49.8186785,28.2705882,0,27.2393651,54.8152485,33.9441663,58.5847353,61.0311531,48.9311501,67.5781653,82.2174625,62.1046714,91.3038479,68.2704686,74.8152485,111.59267,101.105685
31.0344828,9.20730223,38.1216714,69.1561542,51.0015578,28.8675152,0,27.8296897,56.0111237,34.5558134,59.7802394,62.2278134,49.694,68.7745994,83.7445345,63.1966014,93.0807951,69.4909665,76.0111237,113.291323,102.556934
31.643002,9.80784686,39.3181045,70.9611065,52.18536,29.4646613,0,28.4204574,57.2075568,35.1672444,60.9763205,63.4249949,50.4490223,69.9711075,85.2621957,64.2939787,94.8596542,70.7125172,77.2075568,114.993873,104.019305
32.2515213,10.4085781,40.515074,72.7665953,53.3700487,30.0620213,0,29.0116521,58.4045264,35.7784726,62.1729554,64.6226765,51.1966369,71.1677231,86.7703387,65.3966217,96.6403063,71.9349442,78.4045264,116.700156,105.492838
32.8600406,11.0094868,41.7125588,74.5725994,54.5555892,30.6595913,0,29.6032606,59.6020112,36.3895101,63.3701227,65.8208408,51.9372546,72.3644746,88.2688905,66.5043296,98.422646,73.1580943,79.6020112,118.410013,106.977541
33.4685598,11.610569,42.9105375,76.3790974,55.7419473,31.2573671,0,30.1952667,60.7999899,37.0003682,64.5678002,67.0194706,52.6712718,73.5613854,89.7578114,67.6168884,100.206572,74.3818398,80.7999899,120.123294,108.473389
34.0770791,12.2118164,44.1089939,78.186073,56.9290923,31.8553438,0,30.7876582,61.9984462,37.6110568,65.7659675,68.2185467,53.399069,74.7584757,91.2371014,68.7340781,101.991995,75.606073,81.9984462,121.839857,109.980328
34.6855984,12.8132252,45.3079087,79.9935071,58.1169939,32.4535183,0,31.3804219,63.1973611,38.2215862,66.9646085,69.4180558,54.1210091,75.9557617,92.7067921,69.8556805,103.77883,76.8307008,83.1973611,123.559569,111.498268
35.2941176,13.414788,46.5072647,81.8013824,59.3056247,33.0518854,0,31.9735446,64.396717,38.8319665,68.1637028,70.6179807,54.8374361,77.1532566,94.1669503,70.9814746,105.566998,78.055644,84.396717,125.282299,113.02709
35.9026369,14.016501,47.7070467,83.6096836,60.4949564,33.6504412,0,32.5670152,65.596499,39.4422069,69.3632353,71.8183083,55.5486785,78.3509736,95.6176775,72.1112465,107.356429,79.2808347,85.596499,127.007929,114.566644
36.5111562,14.618358,48.9072394,85.4183955,61.6849635,34.2491805,0,33.1608215,66.7966917,40.0523144,70.5631886,73.0190233,56.2550446,79.5489209,97.0591024,73.244788,109.147057,80.506216,86.7966917,128.736341,116.116754
37.1196755,15.220356,50.1078266,87.227502,62.8756227,34.8481014,0,33.7549533,67.9972789,40.6622961,71.7635477,74.2201136,56.9568256,80.7471065,98.4913834,74.3818976,110.938817,81.7317383,87.9972789,130.467427,117.677214
37.7281947,15.8224888,51.3087961,89.0369909,64.0669097,35.4471988,0,34.3493996,69.1982485,41.2721613,72.9642982,75.4215659,57.6542931,81.9455345,99.9147069,75.5223854,112.731655,82.95736,89.1982485,132.201083,119.247797
38.336714,16.4247525,52.5101349,90.8468489,65.2588032,36.0464675,0,34.9441511,70.3995872,41.8819158,74.165427,76.6233682,58.3477049,83.144212,101.329279,76.6660649,114.525515,84.1830446,90.3995872,133.937209,120.828257
