delta/B,6A1g,4T1g(G),4T2g(G),4A1g/4Eg(G),4T1g(P),4T2g(D),4Eg(D),2T2g(I),2A2g(I),2T1g(I),2T2g(I),2Eg(I),2A1g(I),2T2g,2Eg,2T1g,4A2g(F),4T1g(F),4T2g(F),2A2g(H),2T2g(H),2T1g(H),2Eg(H),2T1g(H),2T2g(H),2A1g,2T2g,2Eg,2T1g,2T2g,2A2g,2T1g,2A1g(S),2Eg(D),2T2g(D),2Eg,2T1g,2T2g,2A1g,2T1g,2T2g,2Eg
6.98486614,0,28.1767979,31.2768568,32.3981374,42.0640384,37.9447672,39.3981374,39.7008196,43.2842751,43.5011406,44.5455627,45.63657,46.7597885,49.8225169,51.0242666,53.8720861,53.3573914,52.2655669,55.9320431,56.786865,54.5677288,56.9928021,56.5880186,58.4473586,59.3154389,56.8462573,61.528858,61.3667055,61.3726438,66.3831036,63.3991758,63.354518,66.6617126,76.4085007,77.1203384,82.2128983,83.4061537,84.2269453,85.0395809,100.152249,109.873669,110.377707
7.68335295,0,27.5645847,31.0167986,32.3981374,42.5552969,37.7406566,39.3981374,38.5318428,42.7167168,42.9493599,44.0924683,45.3460121,46.7416725,49.6975029,50.7340442,53.9930396,53.3573914,51.8165704,56.3962119,57.0011874,54.3721141,56.9835751,56.5255704,58.49439,59.1758196,56.632908,61.8525006,61.7231094,61.8800151,67.4554494,63.7524086,63.609461,66.4761607,76.5443268,77.3388062,82.1071243,83.5300442,84.5246624,85.4565937,100.229016,110.043816,110.634484
8.38183975,0,26.9424591,30.7256403,32.3981374,43.0397322,37.5449069,39.3981374,37.3368545,42.1335739,42.3798137,43.6129913,45.0183868,46.7209816,49.5910419,50.4627241,54.1307299,53.3573914,51.3504971,56.8831187,57.1952398,54.1531758,56.9767427,56.463064,58.5344959,58.999986,56.3983003,62.219291,62.0659313,62.3951281,68.5279884,64.1415006,63.8778231,66.2909127,76.6949997,77.5628052,81.9979019,83.6640454,84.8475448,85.8971397,100.313886,110.233306,110.911655
9.08032608,0,26.3122005,30.4034854,32.3981374,43.514156,37.360149,39.3981374,36.1212014,41.5373981,41.7953411,43.1108743,44.6545105,46.697422,49.4975716,50.2115204,54.2865646,53.3573914,50.8696752,57.3900326,57.3687951,53.9091956,56.9715821,56.399596,58.5687043,58.8097439,56.142773,62.6109034,62.3931618,62.906518,69.5972934,64.5641211,64.1658545,66.108312,76.8603897,77.7912979,81.8871613,83.8076903,85.1939173,86.3588289,100.407066,110.442983,111.208333
9.77881241,0,25.6751785,30.0509919,32.3981374,43.9757311,37.1881176,39.3981374,34.8888114,40.9302445,41.1982526,42.5893399,44.2561798,46.670639,49.4124761,49.9801886,54.4620128,53.3573914,50.3759441,57.9145576,57.5226193,53.6392829,56.9676123,56.3345064,58.5979453,58.6185402,55.8668941,63.0162165,62.7031013,63.3966077,70.6609325,65.0174505,64.4868196,65.9302957,77.0399323,78.0237961,81.7771378,83.9604715,85.5618324,86.8395052,100.508778,110.673753,111.523624
10.4772987,0,25.0324554,29.6693236,32.3981374,44.421908,37.0297311,39.3981374,33.6426182,40.313766,40.59044,42.0511246,43.8259534,46.6402168,49.3316717,49.7673644,54.6585588,53.3573914,49.8707788,58.4546123,57.6581118,53.3437369,56.9645052,56.2673166,58.6230233,58.4345611,55.5714785,63.4282561,62.9943446,63.8413225,71.7170477,65.4984366,64.8612584,65.7584075,77.2325363,78.2602692,81.6705093,84.1218463,85.9491199,87.3372317,100.619257,110.92658,111.856643
11.175786,0,24.3848763,29.2600582,32.3981374,44.8504028,36.8852247,39.3981374,32.3848533,39.6893097,39.9734563,41.4985297,43.3668382,46.605648,49.2512224,49.5709464,54.8776438,53.3573914,49.3553842,59.0083842,57.777007,53.024319,56.9620349,56.1976868,58.6446158,58.2626007,55.2575995,63.8423434,63.2657788,64.2216962,72.7641315,66.0039977,65.3052561,65.5938056,77.4363022,78.5010681,81.5705948,84.2912375,86.3534447,87.8502817,100.738751,111.20247,112.206517
11.8742723,0,23.7331161,28.8250594,32.3981374,45.2592189,36.754305,39.3981374,31.1172398,39.0579779,39.3485832,40.933482,42.8820058,46.5663223,49.1669197,49.3884459,55.1205879,53.3573914,48.8307555,59.5743027,57.8811537,52.6844505,56.9600431,56.1253795,58.6632887,58.1051339,54.9265914,64.2551187,63.5165844,64.5402747,73.8008696,66.5311828,65.8139348,65.4373015,77.648262,78.7469406,81.4815979,84.4680384,86.7723644,88.3771187,100.867515,111.502468,112.572392
12.5727587,0,23.0777225,28.3663597,32.3981374,45.646681,36.6363038,39.3981374,29.8411327,38.4206834,38.7168847,40.3575949,42.3745658,46.5215111,49.0738091,49.2172596,55.388518,53.3573914,48.2977288,60.1510047,57.9723597,52.3294179,56.9584144,56.050241,58.6795111,57.9630338,54.5800477,64.664021,63.7462317,64.8140827,74.826,67.0772712,66.3683853,65.289397,77.8639603,78.9989548,81.4089661,84.6516147,87.2033842,88.9163772,101.005811,111.827638,112.953441
13.271246,0,22.4191513,27.8860431,32.3981374,46.0114831,36.530319,39.3981374,28.5576123,37.7781851,38.0792491,39.7722247,41.8474098,46.4703255,48.9656135,49.0548533,55.6822875,53.3573914,47.7570163,60.7373038,58.0523108,51.966617,56.9570687,55.9721874,58.6936671,57.8361001,54.2198254,65.0670081,63.9544773,65.0583527,75.8381083,67.6398184,66.9518568,65.1503353,78.0770645,79.2586441,81.3598175,84.8413143,87.6440023,89.4668463,101.153908,112.179052,113.348863
